,neighbourhood
Williamsburg,3732
Bedford-Stuyvesant,3638
Harlem,2585
Bushwick,2438
Upper West Side,1788
Hell's Kitchen,1731
East Village,1714
Upper East Side,1670
Crown Heights,1519
Midtown,1143
East Harlem,1084
Greenpoint,1069
Chelsea,949
Washington Heights,889
Astoria,887
Lower East Side,859
Financial District,652
West Village,648
Flatbush,608
Clinton Hill,533
Prospect-Lefferts Gardens,522
Long Island City,516
East Flatbush,491
Park Slope,471
Fort Greene,463
Murray Hill,427
Ridgewood,420
Kips Bay,418
Flushing,413
Sunset Park,378
Sunnyside,362
Chinatown,347
Greenwich Village,341
Morningside Heights,340
Prospect Heights,335
Gramercy,304
Ditmars Steinway,304
South Slope,272
SoHo,268
Inwood,250
Theater District,242
Elmhurst,235
Woodside,231
Gowanus,227
Jamaica,225
Nolita,225
East New York,218
Carroll Gardens,214
Jackson Heights,186
East Elmhurst,184
Kensington,172
Boerum Hill,166
Sheepshead Bay,159
Windsor Terrace,150
Canarsie,144
Forest Hills,140
Brooklyn Heights,139
Bay Ridge,137
Borough Park,136
Cypress Hills,130
Maspeth,110
Midwood,109
Little Italy,109
Tribeca,107
Rego Park,106
Richmond Hill,94
Woodhaven,88
Cobble Hill,88
Springfield Gardens,85
Downtown Brooklyn,82
Flatlands,80
Roosevelt Island,76
Bensonhurst,75
St. Albans,74
Brighton Beach,74
Red Hook,73
Arverne,72
Two Bridges,72
Kingsbridge,69
Gravesend,68
Corona,63
Fordham,63
Ozone Park,62
Brownsville,61
Longwood,60
Queens Village,60
Mott Haven,59
Battery Park City,59
Rosedale,58
Rockaway Beach,55
Fort Hamilton,55
NoHo,55
Flatiron District,55
Briarwood,54
Glendale,54
Concourse,50
Wakefield,50
Civic Center,47
St. George,47
Port Morris,46
Tompkinsville,42
Allerton,41
Columbia St,40
Parkchester,39
South Ozone Park,39
Williamsbridge,38
Bayside,38
Stuyvesant Town,35
Concourse Village,32
DUMBO,32
Kew Gardens,32
Fresh Meadows,31
Middle Village,31
Vinegar Hill,31
Norwood,31
Claremont Village,27
Pelham Gardens,27
Highbridge,27
Cambria Heights,26
Stapleton,26
Concord,26
Kew Gardens Hills,25
Far Rockaway,25
Belmont,24
Throgs Neck,24
University Heights,21
Howard Beach,20
Mount Hope,20
Arrochar,20
Clason Point,19
Bronxdale,19
Laurelton,18
Randall Manor,18
College Point,18
West Brighton,18
Hunts Point,18
Morrisania,18
Pelham Bay,17
Jamaica Estates,17
Bath Beach,17
Bayswater,17
Morris Heights,17
Coney Island,16
City Island,16
Clifton,15
Morris Park,15
Soundview,15
Navy Yard,14
Bellerose,14
Hollis,14
Edenwald,13
Schuylerville,13
Marble Hill,12
Eastchester,12
Dyker Heights,12
Fieldston,12
Tremont,11
Woodlawn,11
Edgemere,11
Van Nest,10
Great Kills,10
Melrose,10
East Morrisania,10
Bergen Beach,10
Whitestone,10
North Riverdale,10
Westchester Square,9
Castle Hill,9
Port Richmond,9
Douglaston,8
Jamaica Hills,8
South Beach,8
Mariners Harbor,8
New Springville,8
Manhattan Beach,8
Riverdale,8
Shore Acres,7
Grymes Hill,7
Dongan Hills,7
Belle Harbor,7
Tottenville,7
Baychester,7
Rosebank,7
Bay Terrace,6
Grant City,6
Mount Eden,6
Bull's Head,6
Unionport,6
Midland Beach,6
Sea Gate,5
New Dorp Beach,5
New Brighton,5
Little Neck,5
Emerson Hill,5
Oakwood,5
Olinville,4
Arden Heights,4
Mill Basin,4
Castleton Corners,4
Holliswood,4
Breezy Point,3
Todt Hill,3
Huguenot,3
Spuyten Duyvil,3
Eltingville,3
Graniteville,3
Prince's Bay,3
"Bay Terrace, Staten Island",2
West Farms,2
Co-op City,2
Neponsit,2
Howland Hook,2
Westerleigh,2
Lighthouse Hill,2
Silver Lake,2
Richmondtown,1
New Dorp,1
Rossville,1
Willowbrook,1
